Date,SPY,SPYOP
39912,85.81,84.67
39916,85.83,84.92
39917,84.35,85.03
39918,85.25,83.84
39919,86.5,85.93
39920,87.08,86.83
39923,83.43,85.54
39924,85.06,82.82
39925,84.54,84.29
39926,85.37,84.71
39927,86.66,86.03
39930,85.84,85.68
39931,85.57,84.97
39932,87.39,86.52
39933,87.42,88.55
39934,87.89,87.44
39937,90.88,88.55
39938,90.57,90.57
39939,92.141,91.68
39940,90.86,93.01
39941,92.98,92.03
39944,91.24,91.7
39945,90.97,91.63
39946,88.68,89.74
39947,89.44,88.72
39948,88.71,89.37
39951,91.23,89.55
39952,91.12,91.18
39953,90.51,91.95
39954,89.21,89.46
39955,89.02,89.46
39959,91.3,88.36
39960,89.67,91.44
39961,90.92,90.46
39962,92.53,91.42
39965,94.77,93.67
39966,94.85,94.4
39967,93.65,94.04
39968,94.53,94
39969,94.55,95.49
39972,94.16,93.84
39973,94.64,94.69
39974,94.4,95.48
39975,94.82,94.58
39976,95.08,94.4
39979,92.9,93.96
39980,91.64,93.23
39981,91.55,91.6
39982,92.219,91.69
39983,92.04,92.58
39986,89.28,91.14
39987,89.35,89.47
39988,90.118,90.16
39989,92.08,89.67
39990,91.84,91.77
39993,92.7,92.11
39994,91.95,92.72
39995,92.33,92.34
39996,89.81,91.13
40000,89.8,88.94
40001,88.06,89.71
40002,88,88.59
40003,88.17,88.61
40004,87.96,87.7
40007,90.102,88.31
40008,90.61,90.38
40009,93.26,91.81
40010,94.15,93
40011,94.13,94.06
40014,95.131,94.68
40015,95.57,95.87
40016,95.55,94.96
40017,97.661,95.61
40018,98.06,97.2
40021,98.35,97.88
40022,97.89,97.66
40023,97.652,97.44
40024,98.67,98.83
40025,98.81,98.65
40028,100.44,99.85
40029,100.7,99.99
40030,100.41,100.77
40031,99.89,100.87
40032,101.202,100.94
40035,100.99,100.74
40036,99.73,100.54
40037,100.8,99.56
40038,101.57,101.26
40039,100.79,101.52
40042,98.31,98.85
40043,99.09,98.53
40044,99.96,98.31
40045,100.99,100.09
40046,102.97,101.82
40049,102.96,103.39
40050,103.16,103.37
40051,103.17,102.84
40052,103.4,103.11
40053,103.38,104.23
40056,102.46,102.37
40057,100.2,101.95
40058,99.82,99.78
40059,100.65,100.4
40060,102.06,100.85
40064,102.94,103
40065,103.73,103.12
40066,104.79,103.8
40067,104.77,104.99
40070,105.28,103.88
40071,105.72,105.45
40072,107.32,106.1
40073,107.16,107.17
40074,106.72,107.15
40077,106.45,105.89
40078,107.07,107.08
40079,106.18,107.32
40080,105.01,106.41
40081,104.45,104.78
40084,106.32,104.85
40085,106,106.51
40086,105.59,106.36
40087,103,105.34
40088,102.49,102.02
40091,104.02,102.9
40092,105.51,104.77
40093,105.8,105.27
40094,106.61,106.55
40095,107.26,106.64
40098,107.68,107.76
40099,107.46,107.39
40100,109.31,108.72
40101,109.71,108.78
40102,108.89,108.8
40105,109.79,109.07
40106,109.211,109.95
40107,108.23,109.04
40108,109.33,108.19
40109,108.08,109.69
40112,106.91,108.2
40113,106.42,107.03
40114,104.41,106.15
40115,106.65,105.19
40116,103.56,106.3
40119,104.32,104.13
40120,104.65,103.74
40121,104.92,105.51
40122,106.8501,105.66
40123,107.13,106.26
40126,109.57,107.95
40127,109.59,109.31
40128,110.15,110.31
40129,109.03,110
40130,109.62,109.31
40133,111.21,110.38
40134,111.339,110.92
40135,111.27,111.26
40136,109.82,110.51
40137,109.43,109.25
40140,110.82,110.72
40141,110.99,111
40142,111.38,111.17
40144,109.57,108.4
40147,109.94,109.48
40148,111.3,110.92
40149,111.25,111.28
40150,110.38,111.55
40151,111.01,111.84
40154,110.84,110.91
40155,109.61,110.04
40156,110.021,109.58
40157,110.64,110.7
40158,111.11,111.11
40161,111.87,111.87
40162,111.35,111.46
40163,111.52,111.8
40164,110.18,110.72
40165,110.21,110.2
40168,111.33,110.76
40169,111.73,111.57
40170,111.95,112
40171,112.48,112.19
40175,112.72,112.9
40176,112.562,113.01
40177,112.52,112.23
40178,111.44,112.77
40182,113.33,112.37
40183,113.63,113.26
40184,113.71,113.52
40185,114.19,113.5
40186,114.57,113.89
40189,114.73,115.08
40190,113.66,113.97
40191,114.62,113.95
40192,114.93,114.49
40193,113.64,114.73
40197,115.06,113.62
